Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
2021-04-18,3834283,111955,0.0,3722328.0,6849.722744260163,2.91984185830832
2021-04-19,3836833,111957,0.0,3724876.0,6854.278170397948,2.917953426693317
2021-04-20,3839002,111985,0.0,3727017.0,6858.152962277499,2.917034166692281
2021-04-21,3840945,112005,0.0,3728940.0,6861.62401835033,2.9160792461230245
2021-04-22,3843260,112016,0.0,3731244.0,6865.759630706788,2.914608951775316
2021-04-23,3845537,112054,0.0,3733483.0,6869.8273582815855,2.9138713266833736
2021-04-24,3847341,112081,0.0,3735260.0,6873.050098968866,2.913206809586153
2021-04-25,3848742,112088,0.0,3736654.0,6875.552903682215,2.9123282360833747
2021-04-26,3850494,112091,0.0,3738403.0,6878.682749405115,2.911081019734091
2021-04-27,3852904,112107,0.0,3740797.0,6882.988073715727,2.909675403280227
2021-04-28,3854733,112134,0.0,3742599.0,6886.255475443573,2.908995253367743
2021-04-29,3856836,112149,0.0,3744687.0,6890.0123621760295,2.907797998151853
2021-04-30,3858882,112163,0.0,3746719.0,6893.667421735992,2.906619067387912
2021-05-01,3860524,112169,0.0,3748355.0,6896.6007588804005,2.905538211911129
2021-05-02,3861901,112182,0.0,3749719.0,6899.060688994805,2.904838834553242
2021-05-03,3863354,112183,0.0,3751171.0,6901.656388672531,2.903772214505841
2021-05-04,3865013,112186,0.0,3752827.0,6904.620095324525,2.902603432381728
2021-05-05,3866919,112213,0.0,3754706.0,6908.025053057316,2.9018709727304866
2021-05-06,3869113,112225,0.0,3756888.0,6911.9445059774325,2.900535600795324
2021-05-07,3871255,112238,0.0,3759017.0,6915.771063933173,2.899266516930556
2021-05-08,3872997,112243,0.0,3760754.0,6918.883045239847,2.89809158127414
2021-05-09,3874415,112245,0.0,3762170.0,6921.416219460782,2.897082527297669
2021-05-10,3876424,112245,0.0,3764179.0,6925.005180680706,2.895581081945628
2021-05-11,3878541,112263,0.0,3766278.0,6928.787077595877,2.894464696905357
2021-05-12,3880345,112274,0.0,3768071.0,6932.009818283158,2.8934025196213224
2021-05-13,3882574,112282,0.0,3770292.0,6935.99179666007,2.8919474554767017
2021-05-14,3884402,112297,0.0,3772105.0,6939.257411946292,2.890972664518245
2021-05-15,3886016,112304,0.0,3773712.0,6942.140728725268,2.8899520743095244
2021-05-16,3887487,112307,0.0,3775180.0,6944.7685843522,2.888935705765704
2021-05-17,3889132,112310,0.0,3776822.0,6947.707280821477,2.8877909003859985
2021-05-18,3886364,112315,0.0,3774049.0,6942.762410409952,2.889976337779992
2021-05-19,3887954,112318,0.0,3775636.0,6945.602852589983,2.888871627596417
2021-05-20,3890081,112324,0.0,3777757.0,6949.402613921382,2.887446302532004
2021-05-21,3892258,112330,0.0,3779928.0,6953.291697333913,2.8859854613954163
2021-05-22,3894329,112336,0.0,3781993.0,6956.991417934444,2.884604767599245
2021-05-23,3895920,112339,0.0,3783581.0,6959.833646556098,2.8835037680445184
2021-05-24,3897815,112342,0.0,3785473.0,6963.21895343104,2.882178861746902
2021-05-25,3899813,112355,0.0,3787458.0,6966.788263793116,2.881035577859759
2021-05-26,3902160,112363,0.0,3789797.0,6970.981042281502,2.879507759804826
